time,temp,oxy,light
1530403500,9.528789,9.430787,6342.2227
1530403800,9.528789,9.438472,5383.455
1530404100,9.5196,9.449578,5967.9444
1530404400,9.501217,9.464117,5762.8604
1530404700,9.501217,9.464117,3840.1979
1530405000,9.482828,9.447846,5055.3206
1530405300,9.473631,9.451264,4737.4404
1530405600,9.464433,9.454685,6090.9948
1530405900,9.473631,9.458966,5788.4959
1530406200,9.464433,9.462389,5578.2848
1530406500,9.464433,9.446987,5726.9707
1530406800,9.455234,9.465815,4583.6274
1530407100,9.446033,9.45383,5224.5149
1530407400,9.43683,9.449555,4788.7114
1530407700,9.427626,9.460681,4296.5098
1530408000,9.427626,9.452979,4752.8217
1530408300,9.427626,9.460681,4465.7041
1530408600,9.409214,9.452134,3963.2483
1530408900,9.400006,9.455562,3778.6727
1530409200,9.400006,9.447867,4029.9006
1530409500,9.390796,9.451294,3763.2914
1530409800,9.381585,9.431662,2835.2863
1530410100,9.372372,9.435086,3645.3681
1530410400,9.363158,9.438512,2496.8977
1530410700,9.353942,9.44194,3019.8619
1530411000,9.344725,9.453061,2814.7779
1530411300,9.335507,9.441116,2368.7202
1530411600,9.326287,9.42919,2568.6771
1530411900,9.317065,9.424947,2117.4923
1530412200,9.307842,9.420708,1907.2812
1530412500,9.298617,9.431806,2148.2549
1530412800,9.289391,9.419901,1676.5617
1530413100,9.280164,9.430999,1748.3411
1530413400,9.270935,9.426762,2020.0774
1530413700,9.261704,9.430196,1486.859
1530414000,9.243239,9.429399,1697.0701
1530414300,9.234004,9.432837,1589.401
1530414600,9.224768,9.428606,1189.4872
1530414900,9.21553,9.409066,799.8276
1530415200,9.20629,9.4125,661.3959
1530415500,9.197049,9.40064,507.5829
1530415800,9.187807,9.41172,497.3287
1530416100,9.178563,9.415158,410.168
1530416400,9.16007,9.406736,328.1344
1530416700,9.150822,9.410176,235.8466
1530417000,9.13232,9.409411,143.5588
1530417300,9.123067,9.412854,102.542
1530417600,9.113812,9.408651,71.7794
1530417900,9.104556,9.412096,66.6523
1530418200,9.095299,9.407896,51.271
1530418500,9.08604,9.4037,35.8897
1530418800,9.076779,9.414792,15.3813
1530419100,9.058253,9.421697,10.2542
1530419400,9.048988,9.425152,0
1530419700,9.039721,9.420954,5.1271
1530420000,9.030453,9.409113,0
1530420300,9.021183,9.435533,0
1530420600,9.011912,9.438998,0
1530420900,9.002639,9.442465,0
1530421200,8.993364,9.430601,0
1530421500,8.984088,9.426408,0
1530421800,8.974811,9.422218,0
1530422100,8.956251,9.444479,0
1530422400,8.946969,9.424964,0
1530422700,8.937685,9.443759,0
1530423000,8.9284,9.439567,0
1530423300,8.919113,9.458393,0
1530423600,8.909825,9.454196,0
1530423900,8.900535,9.442333,0
1530424200,8.891243,9.430489,0
1530424500,8.88195,9.456972,0
1530424800,8.872655,9.44511,0
1530425100,8.863359,9.448595,0
1530425400,8.844762,9.455571,0
1530425700,8.835461,9.459063,0
1530426000,8.816855,9.481436,0
1530426300,8.807549,9.469551,0
1530426600,8.788933,9.468866,0
1530426900,8.779623,9.480061,0
1530427200,8.770311,9.468186,0
1530427500,8.751682,9.48289,0
1530427800,8.733047,9.46684,0
1530428100,8.723728,9.493433,0
1530428400,8.714406,9.473859,0
1530428700,8.695759,9.488583,0
1530429000,8.686432,9.476712,0
1530429300,8.667775,9.483748,0
1530429600,8.658444,9.502677,0
1530429900,8.639777,9.502026,0
1530430200,8.621104,9.501379,0
1530430500,8.602424,9.516165,0
1530430800,8.593082,9.511986,0
1530431100,8.574393,9.519069,0
1530431400,8.555697,9.518437,0
1530431700,8.536995,9.510095,0
1530432000,8.518286,9.52491,0
1530432300,8.508929,9.543933,0
1530432600,8.49021,9.527848,0
1530432900,8.471485,9.542701,0
1530433200,8.46212,9.538528,0
1530433500,8.443385,9.54566,0
1530433800,8.434015,9.54923,0
1530434100,8.41527,9.548631,0
1530434400,8.405895,9.552204,0
1530434700,8.396519,9.563532,0
1530435000,8.387141,9.567113,0
1530435300,8.377761,9.57846,0
1530435600,8.377761,9.57846,0
1530435900,8.368379,9.566524,0
1530436200,8.368379,9.574283,0
1530436500,8.358996,9.577871,0
1530436800,8.349612,9.573698,0
1530437100,8.349612,9.581462,0
1530437400,8.349612,9.56594,0
1530437700,8.340225,9.577288,0
1530438000,8.330837,9.580881,0
1530438300,8.330837,9.588652,0
1530438600,8.321447,9.59225,0
1530438900,8.321447,9.57671,0
1530439200,8.312056,9.611423,0
1530439500,8.312056,9.572542,0
1530439800,8.302663,9.591674,0
1530440100,8.302663,9.576137,0
1530440400,8.293268,9.595277,0
1530440700,8.283871,9.583333,0
1530441000,8.274473,9.610276,0
1530441300,8.274473,9.586935,0
1530441600,8.265073,9.590539,0
1530441900,8.265073,9.582769,0
1530442200,8.255672,9.594145,0
1530442500,8.246269,9.605536,0
1530442800,8.236864,9.601365,0
1530443100,8.236864,9.593587,0
1530443400,8.218049,9.600811,0
1530443700,8.208639,9.620007,0
1530444000,8.189815,9.611666,0
1530444300,8.189815,9.619458,0
1530444600,8.170983,9.618914,0
1530444900,8.161565,9.614748,0
1530445200,8.152145,9.602803,0
1530445500,8.1333,9.63344,0
1530445800,8.123874,9.621474,5.1271
1530446100,8.114448,9.617314,15.3813
1530446400,8.105019,9.628745,25.6355
1530446700,8.095589,9.632384,46.1439
1530447000,8.076723,9.631864,76.9065
1530447300,8.057851,9.623552,107.6691
1530447600,8.048412,9.642802,143.5588
1530447900,8.038972,9.638643,179.4485
1530448200,8.020086,9.653762,225.5924
1530448500,8.001193,9.65326,292.2447
1530448800,7.991744,9.649103,353.7699
1530449100,7.97284,9.672079,358.897
1530449400,7.963386,9.667916,364.0241
1530449700,7.944472,9.675259,435.8035
1530450000,7.935013,9.70248,497.3287
1530450300,7.925551,9.682612,569.1081
1530450600,7.906624,9.697825,548.5997
1530450900,7.897157,9.701513,528.0913
1530451200,7.887689,9.697348,538.3455
1530451500,7.878219,9.701038,615.252
1530451800,7.868748,9.704731,728.0482
1530452100,7.859274,9.708426,789.5734
1530452400,7.859274,9.71629,871.607
1530452700,7.849799,9.727866,897.2425
1530453000,7.840322,9.715823,881.8612
1530453300,7.840322,9.731571,1281.775
1530453600,7.849799,9.727866,1040.8013
1530453900,7.849799,9.727866,886.9883
1530454200,7.849799,9.719991,1061.3097
1530454500,7.849799,9.727866,1184.3601
1530454800,7.859274,9.732041,1948.298
1530455100,7.859274,9.747819,2204.653
1530455400,7.878219,9.748296,3486.428
1530455700,7.897157,9.756681,3122.4039
1530456000,7.897157,9.76459,3050.6245
1530456300,7.906624,9.752973,2963.4638
1530456600,7.925551,9.761372,3491.5551
1530456900,7.935013,9.781421,3665.8765
1530457200,7.95393,9.773998,4706.6778
1530457500,7.963386,9.794083,4983.5412
1530457800,7.982293,9.778725,5716.7165
1530458100,8.01064,9.791406,5485.997
1530458400,8.02953,9.783994,4711.8049
1530458700,8.048412,9.768665,3271.0898
1530459000,8.048412,9.768665,5096.3374
1530459300,8.067288,9.753365,4393.9247
1530459600,8.076723,9.757589,5075.829
1530459900,8.095589,9.750217,6214.0452
1530460200,8.114448,9.758674,5234.7691
1530460500,8.1333,9.759225,3922.2315
1530460800,8.1333,9.759225,2640.4565
1530461100,8.1333,9.735503,3876.0876
1530461400,8.142723,9.731831,2261.0511
1530461700,8.142723,9.723941,4358.035
1530462000,8.161565,9.732385,6347.3498
1530462300,8.189815,9.752991,6383.2395
1530462600,8.227457,9.746224,4804.0927
1530462900,8.236864,9.75047,3486.428
1530463200,8.246269,9.738897,2942.9554
1530463500,8.255672,9.719448,5352.6924
1530463800,8.274473,9.727923,2696.8546
1530464100,8.293268,9.704854,1912.4083
1530464400,8.293268,9.689117,2414.8641
1530464700,8.312056,9.697572,3107.0226
1530465000,8.330837,9.706043,3383.886
1530465300,8.358996,9.703009,2753.2527
1530465600,8.387141,9.676392,2496.8977
1530465900,8.405895,9.677005,2076.4755
1530466200,8.424644,9.669769,2737.8714
1530466500,8.46212,9.663169,4178.5865
1530466800,8.518286,9.672931,2927.5741
1530467100,8.555697,9.666377,2214.9072
1530467400,8.593082,9.636332,2799.3966
1530467700,8.630441,9.645496,2030.3316
1530468000,8.667775,9.631183,1886.7728
1530468300,8.705083,9.616909,1891.8999
1530468600,8.751682,9.599119,1897.027
1530468900,8.788933,9.600521,2440.4996
1530469200,8.844762,9.587063,3686.3849
1530469500,8.909825,9.585712,2671.2191
1530469800,8.974811,9.584422,23999.9551
1530470100,9.048988,9.548551,33305.6416
1530470400,9.123067,9.528368,38812.147
1530470700,9.187807,9.519508,33428.692
1530471000,9.261704,9.51499,23225.763
1530471300,9.335507,9.502805,43570.0958
1530471600,9.427626,9.483827,15247.9954
